Results of 3 bytes, method: ownmethod
fac9a593fd35c19ccd7bfe98b4c12c42d545ed4ac0b733f8d3be2218fc289e27 , 2249
96a2c17ea464eb1929c33c09431f9b619de89e400bc8340c818a7c8b75203da7 , 191
00c30e0f23fd04504849694f364b0dfffe6e00163621991bc89523b8cd133614 , 418
82d24150fae574674b0dfaa15cfa905b865fc42c3553a51d863a54e86ab78be2 , 703
96a1dc18ee1e105636c911199d78f7a17d612c0078eb103b1c3d48b93fe25df1 , 318
2cb09c559c79f0f20f12781bc92e83cd14641cdd4da9269d6f589b078acc5be1 , 120
675c759850cfbb907abf1233b1de05f8b3d6b3dd5fe3105279be00a1a185141f , 756
9e9e355b1806ee1ddcb813ea0ed6c555e57e16d5368fe587ceec901ff610d170 , 1785
e88eaea4edc388aa31aecd84aca51b1c918c66e9d52d8c73fe6a0d55a8f315ba , 1830
01618aefacc8014f3112fe331665d961e36171bdbb2fb3a27eaf1055047d5997 , 1388
763e5e392f94f86b7cfdb611595d3911cc49602c671b1bdad56af30451dd3d30 , 492
35026f63680761888bc291939e14cd04f11422f793a3505b6049ed56a804a173 , 2023
606290871db26d30161c024957be39114f168ea7cd3f91754ff6231988f6f1a5 , 1276
a672028e4c470b846540d31ab29446f39fd88402f3e96e45b49031a69eae3817 , 362
9f8df50db9cdaebfbbd88236e00c29fedc8141c18e9867560108d4ccc7af67b4 , 85
b3e20b67a41e41ee955d47178bc6bcde621963c9d3946059aaecbc513af49f4c , 1852
a4bd5f9ea07572409b34bc62b42dd9db2c99c7e64e85c2b47a6b1c25352ad3b0 , 156
2f026aa390a86d4509b59a455da7612dc5ed8ba315b7d9ec20523fbae82a8614 , 3268
87ea488f8fd3005be4821d9ac9b283dab91c8c87dfb260f00953a3a32ef32321 , 770
1a0e282ae3764eca83310e836283228b398066e35373b610f536b13190434ddc , 2125
872ba583e7d2126fe70a3459cc6c1c8691fb4409cc6ffa8298dab49530be1711 , 9181
cdf349664683c4d11cd4742f502f5cd69ff77be44b6589291c40cab570675708 , 248
b6a82acf18931056efada8a8fae7d18cf9b2ccfb0a951f164c635a9a8190a21a , 2829
ade9036ac3809a28d6bb07d0401d01bda8a0a388b4e3068649cf5110e2facdc7 , 1538
baf0094187e11987e9889d0f59204d51d0bc911bc833ab37ce35c51cf5dfbef7 , 1461
2768c919061ca59c8759aa949e809a0cb47ec32a6f034d40bdb4673b93f3fa3e , 486
315cf71dd97c06f0058a6be9caa08690c866e13c38ffbf3bd1865a2ff3798d61 , 4560
85a564d74603f6ef6cd7ad6e11efbaf435117f9d0e014715dd524650be1d49b5 , 1974
e047806aaac6a2ea1956398e409ef3b87b58cabf6af519c263c8dc752dc3791c , 2152
e3dc26c31030e750dddd6f098904dfec5ee2893f4c7367b220d496a702a2b653 , 36
8eb5dda1363cfe1b12125036c2a2e17897625a4f60948de447d7cbf8a9a13f0b , 1285
4048230df43ef9cd45172f3626de93a23b0b930f671023ae695f4776ee3662d2 , 278
1f9cb1a655f587029ee19816f2c895f8048e4ef999ff023b1e782fbd7d52e1c4 , 124
d20b83a46d905a73e3fb7e599a20ae9e0eb57f04f89d326f37b0a5731ac88808 , 570
9dc79e69ad9c6be4cef3787cffdb31339813d850cba0b8c847ba95ca2092b46a , 4198
d9ad6df3c5d9de9ad1f8fb02654fad0254e950f5d5eb4902cc7828083ab87bef , 172
a2cb93bca9367bf2d0a95c3516e17947016ac6ee3e0c844e34a92bb1d2d19a8f , 287
94c95995ae36015bf7a74da6892d5971d4a5a960fb1439f3c49742ab1dacfb2c , 3104
4039487e89379566328e4045ca915a3e0428f8da41c5b610f65c0acf15b436f1 , 80
8fe4d762a6b41cb66847dc885b260a2cdd2d08df8bcb6b8f7d209f5d5a33c4e4 , 1820
38461bfae6990f90521ec103b1277ecc5455e3cbbbb28ff081d9d6368de9a691 , 3601
636ec686a8299a32d503d88a54523e8a156c10caed51070a65711b5f2b3735f7 , 2979
fcfced57d3e8ec2adf604a86857de56634aff796624b02bdef08720e3c149819 , 117
f00100b4bb32e296466b43ef5c0124a183d94811ed9c1ae1a66c7ad3f5305b4e , 544
162213c6366f9d2bdc22ce94d8554e09df240316c934c323b3259b73d3ed3ff0 , 862
e3992d8d2587fa1e32fa18ed40f93f71c5a2c139d25604bdecc3ebcfa6a29cda , 1854
1698b0fb7bb8fe7f803abad8adf9ebf56946de6af757a8c3f079a90708887294 , 204
2a7859c77284385107e0d41d6f32a5498fb70604f636baf065454011e621260b , 2027
59ed0866641467465cae50922b02389d9dbd454a22aadd8e03dd042d8e3d3a4f , 649
6933c78e715d444076ca7b52275b99d8d1775a0d2f97ca479f227d29bd29240f , 2465
70373f1e6b94bcdc00d46e61258e0733a5b9bb26a5b03b195d0946e425c1277d , 3797
23b32240287c1e13c06f005406b11c4ad2e980b6eca2107e66fdd2a5c7920604 , 1145
0e2ccf26aeac36238b7c92a910e0652a5fd1b383e2ff9fd6042bd9683198457d , 198
85b17280f5b1449154f175fe7de3a54a25757682370b41527315c946453cbca4 , 337
